year,n_stations_x1,var_dxdt1,n_stations_x2,var_dxdt2
1953,79,16.593070431678033,75,15.192403603603605
1954,81,5.351526063100138,79,4.933300876338849
1955,82,5.477203151661148,79,4.977875148761225
1956,84,8.764282327723594,80,7.579631460970466
1957,83,5.976338279949066,82,5.418937569005321
1958,83,5.856558347209978,84,8.457988112963678
1959,86,6.1819305745554045,85,2.9376890311680226
1960,85,4.341175918098996,84,7.052159297214774
1961,86,7.970668984648122,82,8.797973334671621
1962,88,3.7887495646116336,87,2.9405571148534264
1963,89,4.730656920326866,87,4.130043066322137
1964,88,8.689524555903866,85,7.44695748822945
1965,91,13.446711775878448,90,7.9778850816644455
1966,90,4.076637830829376,89,2.026032799909204
1967,89,13.946820735444332,89,10.023064295632203
1968,89,7.110352116672346,91,7.271969542802875
1969,89,6.654636250141869,90,2.174781523096129
1970,88,6.404780564263322,89,5.4295199182839635
1971,92,6.779325131390351,91,6.779046262379599
1972,97,3.703721480000937,92,4.920047114721029
1973,99,10.020217449119565,93,9.319990119119174
1974,100,7.595600757575762,94,6.16424023571146
1975,99,4.812822098536385,95,2.8684650989175062
1976,99,7.494949494949495,96,7.622584673489275
1977,99,5.773420142467759,97,4.327682023195874
1978,99,14.523288497217063,95,12.453079507278838
1979,100,7.752255892255894,96,6.660416666666664
1980,100,11.700606060606056,97,13.816254143028535
1981,100,3.471590909090907,100,3.222502727959871
1982,100,8.409368686868683,100,7.298888888888891
1983,100,5.089368686868687,100,6.492323232323236
1984,100,6.126262626262627,100,5.138989898989898
1985,100,4.552398989898987,99,5.751752216037929
1986,100,4.89037878787879,100,3.5110101010101
1987,100,4.158459595959599,100,3.867272727272726
1988,100,4.432803030303031,99,8.242321170892595
1989,100,5.487272727272727,100,5.553636363636365
1990,100,6.925353535353535,100,11.232727272727267
1991,100,2.210378787878788,100,2.720479797979798
1992,101,8.109257425742577,101,7.875819581958198
1993,100,3.9827693602693626,99,2.38660986280034
1994,100,10.312601010101007,99,7.25316658649992
1995,101,8.10397139713971,99,7.615256877161642
1996,100,7.678055555555552,100,7.473449242424242
1997,101,21.251809680968105,100,25.006887626262614
1998,99,5.283910533910533,96,7.553700657894738
1999,98,13.907006101409628,96,16.74035087719298
2000,97,9.73555627147766,97,6.897784221076749
2001,96,7.075411184210525,96,10.07883771929825
2002,96,7.281332236842108,95,5.110190369540873
2003,93,5.06948340345956,93,5.369922341696534
2004,93,9.029336138382419,93,6.120850864890137
2005,92,9.34887123745819,92,12.405727424749164
2006,88,8.84430512016719,88,6.6572296238244535
2007,84,15.882386689615608,83,24.872832794593005
2008,73,9.087994672754947,72,9.209507042253522
2009,68,18.156277436347672,68,16.75658472344162
2010,61,4.077459016393442,61,4.8114754098360635
2011,59,16.67957334891876,59,7.924605493863237
2012,59,12.59906487434249,59,13.380333138515489
2013,59,8.552454704850966,58,3.249621899576528
2014,58,25.986388384755,58,26.650332728372657
2015,58,13.525105868118573,58,14.593768905021177
2016,58,3.131276467029643,58,4.512477313974592
2017,58,9.863656987295826,58,8.550892316999395
2018,58,3.5551270417422858,58,4.43261620286348
2019,58,9.196990320629158,57,6.731098579782789
2020,58,6.8334089534180285,55,2.9023569023569022
2021,57,8.316416040100252,57,8.528717627401836
2022,58,4.5357683000604965,58,6.714660213752776
2023,58,7.123487598306115,56,4.591883116883116
2024,58,6.647307924984879,56,3.456818181818181
2025,58,18.078644888082277,54,12.806778476589797
