index,station,currently_observed,n_first_bloom_points,n_full_bloom_points,first_bloom_year_range,full_bloom_year_range,first_bloom_trend_days_per_decade,full_bloom_trend_days_per_decade,species_note,temporal_plot,phase_space_plot
90,Kagoshima,True,73,73,1953-2025,1953-2025,-0.603,0.311,,temporal_plots/090_Kagoshima_temporal.png,phase_space_plots/090_Kagoshima_phase_space.png
91,Miyazaki,True,55,73,1971-2025,1953-2025,-1.041,-0.247,,temporal_plots/091_Miyazaki_temporal.png,phase_space_plots/091_Miyazaki_phase_space.png
92,Yakushima,False,1,1,1991-1991,1991-1991,,,,temporal_plots/092_Yakushima_temporal.png,phase_space_plots/092_Yakushima_phase_space.png
93,Tanegashima,False,50,39,1953-2007,1953-2007,0.086,0.71,,temporal_plots/093_Tanegashima_temporal.png,phase_space_plots/093_Tanegashima_phase_space.png
94,Naze,True,61,56,1953-2025,1953-2024,0.126,0.506,Taiwan cherry (Prunus campanulata),temporal_plots/094_Naze_temporal.png,phase_space_plots/094_Naze_phase_space.png
95,Yonaguni Island,False,17,16,1992-2008,1992-2007,0.0,-4.441,Taiwan cherry (Prunus campanulata),temporal_plots/095_Yonaguni_Island_temporal.png,phase_space_plots/095_Yonaguni_Island_phase_space.png
96,Ishigaki Island,True,70,56,1953-2025,1958-2022,-1.772,1.822,Taiwan cherry (Prunus campanulata),temporal_plots/096_Ishigaki_Island_temporal.png,phase_space_plots/096_Ishigaki_Island_phase_space.png
97,Miyakojima,True,54,50,1972-2025,1954-2025,0.293,0.275,Taiwan cherry (Prunus campanulata),temporal_plots/097_Miyakojima_temporal.png,phase_space_plots/097_Miyakojima_phase_space.png
98,Kumejima,False,35,31,1962-2004,1962-2004,-0.36,-1.984,Taiwan cherry (Prunus campanulata),temporal_plots/098_Kumejima_temporal.png,phase_space_plots/098_Kumejima_phase_space.png
99,Naha,True,52,48,1974-2025,1976-2024,5.581,-0.089,Taiwan cherry (Prunus campanulata),temporal_plots/099_Naha_temporal.png,phase_space_plots/099_Naha_phase_space.png
100,Nago,False,31,23,1972-2002,1977-2002,-108.524,2.378,Taiwan cherry (Prunus campanulata),temporal_plots/100_Nago_temporal.png,phase_space_plots/100_Nago_phase_space.png
101,Iriomote Island,False,42,24,1955-2002,1975-2002,-2.218,6.694,Taiwan cherry (Prunus campanulata),temporal_plots/101_Iriomote_Island_temporal.png,phase_space_plots/101_Iriomote_Island_phase_space.png
102,Minami Daito Island,True,53,44,1971-2025,1971-2022,2.557,2.38,Taiwan cherry (Prunus campanulata),temporal_plots/102_Minami_Daito_Island_temporal.png,phase_space_plots/102_Minami_Daito_Island_phase_space.png
